x,10HZ
0,0
7.39,0.4533
37.54,0.0255
99.31,-0.0447
104.05,0.1788
129.77,0.0016
197.52,-0.026
210.17,0.2592
242.15,0.0638
298.71,-0.0128
307.63,0.2107
345.14,0.0266
401.15,-0.0575
411.04,0.2043
454.73,0.0328
500.38,-0.0638
509.38,0.1213
554.36,0.0316
596.16,-0.0409
607.51,0.1405
656.91,0.0051
694.58,-0.0447
707.75,0.1468
722.57,0.0519
797.96,0.0473
803.6,0.2554
823,0.1371
897.73,0.0417
901.82,0.2298
932.38,0.1021
60000,0
60006.22,0.4746
60029.33,0.1704
60050.93,-0.0436
60060.85,0.1529
60080.8,0.0033
60099.57,-0.1085
60107.67,0.1006
60124.98,0.0041
60152.18,-0.0965
60159.57,0.1408
60174.89,0.0483
60201.41,-0.0482
60208.17,0.181
60226.22,0.034
60250.77,-0.0482
60262.9,0.1207
60282.29,0.0456
60297.42,-0.0241
60310.7,0.2253
60332.52,0.0803
60351.35,-0.012
60356.91,0.1529
60376.29,0.0714
60399.36,-0.008
60408.77,0.2092
60430.62,0.0791
60450.01,-0.012
60464.07,0.185
60483.84,0.0756
120000,0
120006.41,0.3821
120018.05,0.1729
120026.84,0.0563
120029.49,0.362
120041.06,0.177
120052.92,0.0596
120058.68,0.2494
120064.26,0.1266
120076.93,0.0161
120085.09,0.2091
120088.75,0.105
120101.35,-0.012
120107.53,0.1649
120114.84,0.0746
120125.67,-0.008
120132.37,0.2413
120139.81,0.1488
120152.52,0.0442
120159.4,0.2172
120164.64,0.0938
120175.67,-0.004
120183.79,0.1931
120190.72,0.0901
120201.93,0.0201
120208.75,0.2132
120216.49,0.0992
120225.64,0.0081
120233.15,0.189
120246.96,0.0566
120280.36,-0.0483
