x,Curve2-1
37.192,0.1042
38.397,5.1255
43.379,0.4357
53.769,0.087
54.826,3.3933
58.496,1.0859
60037.221,0.0999
60038.45,5.1234
60043.392,0.4358
60056.554,0.1566
60057.758,4.0742
60060.106,2.151
120037.221,0.0999
120038.449,5.1324
120043.392,0.4358
120064.095,0.1608
120065.617,4.4409
120067.312,2.4268
180037.221,0.0999
180038.45,5.1234
180043.392,0.4358
180072.946,0.2111
180074.796,4.5141
180076.32,2.7263
240037.156,0.0999
240038.384,5.1324
240043.327,0.4268
240080.488,0.1927
240082.007,4.5861
240083.692,2.9115
300037.155,0.1088
300038.384,5.1324
300043.327,0.4268
300089.666,0.2659
300091.346,4.7952
300093.384,2.1925
360037.156,0.0999
360038.384,5.1413
360043.327,0.4268
360095.733,0.224
360097.244,4.9117
360099.442,2.4676
360101.939,1.0879
