x,red
-735.21,57.345
-717.17,29.912
-705.81,38.543
-692.95,48.155
-665.48,-2.136
-641.29,16.179
-628.49,35.34
-613.03,-41.942
-594.26,0.194
-579.61,22.719
-564.01,-38.058
-537.33,10.874
-524.93,28.349
-509.6,-25.631
-493.79,8.544
-474.9,27.573
-456.94,-38.816
-434,-10.291
-422.8,16.505
-408.48,-53.009
-389.13,-5.243
-372.36,25.631
-355.6,-23.301
-337.26,9.126
-323.22,26.602
-308.21,-39.612
-289.4,1.553
-272.3,24.077
-251.37,-26.408
-235.35,2.524
-219.81,23.301
-208.65,-28.932
-182.52,13.398
-148.85,32.039
