x,Minimal-Stimulation
-1226.27,0.594
-1219.94,32.051
-1203.48,6.121
-1124.24,1.282
-1118.56,20.697
-1104.89,5.655
-1024.24,1.538
-1020.83,20
-1009.55,6.795
-927.27,0.513
-922.59,20.184
-907.92,5.165
-824.24,-0.513
-822.09,18.718
-808.85,5.224
-733.33,1.42E-13
-724.24,15.385
-706.98,3.2
-627.27,-0.256
-625.62,14.872
-607.45,1.779
-533.33,-0.769
-526.5,19.231
-510.95,4.373
-433.33,1.795
-427.38,16.667
-416.55,6.659
-330.3,1.026
-326.89,17.949
-309.08,4.538
59567.796,0.594
59570.01,33.378
59574.548,22.678
59592.869,7.594
59596.101,20.544
59602.829,13.575
59618.075,5.816
59622.516,18.034
59628.836,12.58
59644.203,5.839
59648.055,14.096
59657.501,9.411
59670.086,6.754
59673.898,13.225
59682.003,9.942
59695.146,6.62
59698.937,13.26
59707.987,10.401
59720.943,7.771
59724.941,14.729
59732.862,10.176
59746.642,7.219
59750.004,13.139
59759.053,10.863
59773.515,7.766
59777.821,12.21
59785.917,9.862
59799.391,7.961
59806.671,12.473
59834.233,7.451
59904.736,4.56
