x,Paired-Recording
178.79,2.308
184.85,29.744
221.92,5.957
272.73,1.538
284.85,28.565
321.62,5.649
375.75,1.538
383.43,20.529
416.98,5.598
475.75,3.846
481.82,23.59
513.13,4.88
575.75,2.564
581.52,25.101
619.2,7.219
669.7,3.333
682.33,23.14
716.59,5.671
774.14,3.846
780.4,23.803
812.85,6.628
875.76,3.077
877.37,22.339
911.22,5.629
972.72,2.308
977.65,19.234
1011.22,4.28
1069.24,1.966
1077.77,20.923
1105.36,7.752
60076.791,2.308
60079.088,36.89
60089.899,9.019
60101.962,6.154
60104.187,30.92
60112.057,10.645
60127.666,6.413
60130.107,25.393
60138.175,11.809
60151.412,6.416
60154.164,17.482
60163.242,10.537
60176.736,7.17
60180.005,22.68
60189.647,10.062
60202.455,7.493
60204.514,17.444
60214.605,8.376
60226.318,6.985
60229.867,16.085
60238.981,8.832
60252.02,5.746
60257.333,13.732
60262.049,7.936
60277.477,5.522
60279.31,12.58
60290.033,7.864
60301.688,5.621
60306.292,15.312
60312.433,9.3
60320.567,6.418
