x,upper red
-81.57,-13.38
-78.37,-69.66
-72.43,-45.9
-61.79,-28.74
-58.77,-97.75
-47.77,-55.62
-41.1,-36.75
-38.16,-111.63
-27,-58
-19.51,-37.17
-14.8,-100.06
-9.62,-73.61
-2.15,-54.25
2.82,-98.78
9.6,-71.84
224.04,-12.94
232.57,-88.54
242.5,-64.77
247.54,-47.86
249.88,-109.29
256.64,-83.81
268.12,-63.47
271.54,-104.57
276.62,-85.22
288.19,-59
295.63,-98.13
300.77,-74.38
309.26,-39.6
316.98,-59.64
321.08,-52.29
536.06,-11.74
542.37,-74.87
549.12,-49.64
558.2,-30.03
559.63,-98.8
569.64,-69.64
574.71,-50.29
585.23,-98.96
591.21,-71.78
602.84,-41.4
608.85,-68.79
615.53,-49.19
621.31,-36.2
631.4,-58.2
635.63,-42.28
836.59,-11.7
838.17,-34.81
845.93,-24.88
865.14,-13.16
870.43,-43.64
876.37,-27.5
886.64,-19.51
891.91,-96.03
899.94,-66.67
904.75,-41.21
911.74,-85.87
919.69,-62.34
926.28,-45.42
934.22,-67.54
940.74,-55.28
950.39,-46.7
