x,autaptic
-2110.58,41.017
-2101.55,-70.648
-2077.68,-43.844
-2055.27,-36.046
-2027.55,-84.358
-1938.65,-20.754
-1905.58,-7.195
-1898.92,-28.392
-1890.33,-20.302
-1877.88,-19.802
-1863.06,-45.089
-1852.41,-38.249
-1832.7,-17.702
-1819.21,-33.167
-1807.81,-22.951
-1643.36,12.965
-1629.74,-13.98
-1621.57,-7.856
-1608.04,4.204
-1593.86,-18.613
-1585.96,-15.236
-1559.79,-5.379
-1535.77,-31.552
-1515.44,-20.976
-1395.76,8.607
-1388.66,-2.034
-1380.15,1.24
-1352.19,11.063
-1335.48,-12.339
-1325.29,-5.193
-1175.3,24.573
-1154.32,1.956
-1147.82,12.805
-1141.57,26.823
-1123.12,6.916
-1112,12.022
-920.05,39.95
-901.38,16.962
-897.43,32.251
-892.82,44.425
-868.74,19.372
-860.23,22.145
-707.4,31.639
-700.59,23.045
-690.17,32.689
-670.25,50.363
-655.88,29.82
-646.2,40.766
-635.17,50.977
-607.33,22.913
-590.44,28.878
-461.88,55.38
-446.16,35.735
-438.97,41.749
-427.97,48.552
-397.16,27.16
-390.23,30.064
-384.2,32.515
