x,CB1R+ non-BC
-885.21,251.62
-881.33,233.21
-880.07,242.47
-876.42,251.47
-873.12,219.48
-871.41,232.38
-867.91,240.68
-867.35,196.28
-865.36,211.19
-862.9,222.09
-861.35,185.59
-858.75,196.9
-855.85,208.7
-851.6,191.3
-849.3,202.91
-844.89,209.51
-839.39,183.02
-837.71,199.12
-835.55,210.13
-828.46,189.43
-828.06,198.03
-825,206.64
-822.07,187.54
-819.76,198.35
-816.28,211.45
-810.47,181.56
-809.07,195.46
-804.38,203.67
-799.49,180.57
-797.16,192.49
-793.7,204.08
-791.13,168.06
-787.25,184.54
-784.37,195.24
-783.48,164.13
-778.65,183.34
-774.01,193.5
-768.95,174.46
-766.9,185.58
-762.96,195.9
-756.12,167.03
-755.18,184.33
-749.39,193.69
-744.73,172.34
-741.26,187.51
-738.38,200.15
-733.84,185.46
-733.17,197.36
-730.09,203.96
-725.78,177.07
-721.71,189.47
-719.38,197.27
-716.01,178.38
-713.57,191.88
-709.9,205.93
-703.98,175.09
-701.12,193.6
-699.23,200.6
-695.28,183.21
-693.13,196.21
-690.54,208.91
-685.36,186.72
-683.66,199.02
-680.58,205.22
-675.26,183.43
-673.4,194.13
-670.66,206.94
-663.66,177.05
-662.6,198.75
-659.1,208.25
-654.06,183.46
-651.77,197.46
-646.51,209.77
-642.5,184.87
-640.4,204.48
-638.87,221.88
-632.02,192.49
-630.01,202.69
-626.8,211.59
-621.16,186.3
-619.48,203.3
-619.26,216
-610.39,194.41
-609.41,204.62
-606.35,214.02
-602.69,196.12
-601.11,205.23
-597.63,219.33
-590.09,197.74
-589.41,208.04
-583.4,218.85
-577.65,199.26
-575.79,211.26
-573.6,217.36
-569.19,197.77
-568.06,206.87
-565.29,215.57
-562.76,189.68
-559.89,205.28
-557,218.08
-550.04,194.89
-548.64,208.49
-545.42,215.5
-539.99,199.51
-538.87,210.11
-537.44,219.11
-529.15,196.32
-527.29,208.72
-525.56,216.52
-518.04,197.93
-517.66,210.33
-512.57,220.15
-508.2,204.99
-505.08,214.59
-501.57,222.05
-498.17,198.96
-496.78,214.76
-492.4,224.87
-487.57,210.17
-485.53,216.78
-482.02,225.98
-477.17,207.19
-475.44,216.19
-474.02,226.99
-467.36,204
-466.55,216
-463.64,226.8
-455.83,203.41
-454.34,214.69
-450.72,221.5
-445.73,205.43
-443.42,217.23
-439.61,223.83
-434.76,198.71
-431.89,213.2
-428.61,219.24
-424.93,199.25
-423.25,215.06
-420.94,227.06
-414.28,203.07
-412.9,214.27
-410.24,222.27
-405.1,205.48
-402.5,216.88
-401.68,228.68
-393.52,202.69
-393.01,217.29
-392.04,227.9
-384.35,206.11
-382.95,220.11
-379.14,228.31
-372.75,200.92
-371.96,216.92
-369.06,229.13
-364.5,208.93
-362.18,218.53
-359.25,224.74
-357.35,203.54
-354.91,217.24
-349.77,226.45
-344.03,208.16
-341.78,219.21
-336.31,226.05
-331.55,203.97
-329.27,219.18
-327.26,230.38
-322.96,205.98
-320.08,220.59
-314.5,228.8
-309.34,209.2
-306.15,220.41
-303.52,227.21
-298.33,202.62
-297.54,218.82
-294.62,227.62
-289.18,210.03
-288.95,220.43
-286.98,239.03
-278.13,197.24
-275.27,213.65
-273.23,220.65
-267.82,208.06
-267.59,219.26
-264.82,225.33
-257.13,206.47
-256.04,221.27
-249.86,230.48
-248.26,210.88
-245.08,223.28
-240.95,228.29
-237.86,207.09
-236.16,219.1
-227.67,237.51
-223.37,213.51
-221.21,224.12
-220.2,229.52
-215.35,210.72
-213.63,221.53
-212.2,229.33
-205.13,213.24
-203.7,222.04
-199.59,227.94
-196.65,207.95
-194.21,220.75
-190.53,226.35
-183.92,211.56
-183.1,222.56
-181.66,230.37
-174.46,215.58
-170.66,224.78
-166.25,231.59
-161.91,199.59
-158.61,220.93
-152.47,231.46
-142.67,206.22
-138.3,219.22
-133.62,230.43
-124.32,211.64
-122.9,222.24
-119.7,232.65
-113.66,213.85
-111.64,224.06
-105.76,232.46
-99.68,206.87
-99.47,221.67
-97.45,231.87
-89.92,212.08
-89.7,224.88
-87.08,232.69
-81.31,209.3
-79.63,226.3
-75.83,236.1
-68.02,219.71
-65.13,231.72
-59.84,240.22
-58.22,213.88
-55.67,225.47
-51.55,233.33
-50.38,209.35
-47.61,220.63
-44.12,230.9
-41.86,223.6
-40.23,204.2
-33.29,236.52
-30.65,208.9
-29.02,221.92
-25.78,230.18
-20.81,204.98
-19.03,220.86
-16.49,232.83
-11.14,213.18
-10.47,225.78
-7.18,237.38
0.43,214.83
0.91,227.94
2.52,241.17
13.33,213.21
17.01,228.77
18.98,236.78
22.89,208.31
24.1,224.31
28.35,231.12
34.82,211.1
36.99,223.32
37.87,232.9
45.48,209.85
47.64,223.34
48.16,231.28
54.47,206.71
54.57,221.08
60.24,230.72
66.02,211.27
69.1,226.77
72.83,235.34
76.47,213.04
78.11,225.01
82.43,236.84
86.35,216.97
87.96,229.06
91.03,233.04
93.51,207.14
98.8,228.32
102.91,236.26
107.11,214.24
110.3,226.84
115.71,240.25
120.3,215.15
121.72,226.26
122.13,232.86
128.67,204.47
130.62,225.37
136.21,233.28
141.84,215.02
142.55,221.82
146.78,232.16
150.45,213.14
152.63,222.34
158.33,237.59
161.56,217.64
163.62,229.81
165.8,238.86
175.81,220.86
177.18,234.34
178.28,243.79
187.77,219.23
189.56,232.09
193.63,239.9
200.61,227.44
201.32,234.24
206.33,239.16
