x,40Hz-APV
0,0
12.63,2.075
18.33,1.9783
23.23,1.8573
34.69,4.0434
43.66,3.6927
49.99,3.422
58.79,5.3945
65.47,4.9294
75.75,4.1896
82.43,5.6646
90.79,4.9958
99.89,4.2947
107.04,5.8576
147.8,1.4646
60000,0
60012.67,1.9599
60030.96,1.3847
60047.5,0.8417
60060.5,3.0335
60079.13,2.0224
60096.59,1.1018
60109.03,3.2813
60125.9,2.2933
60146.1,1.0374
60157.56,3.2537
60178.65,1.9671
60195.89,0.8768
60207.49,3.1343
60247.84,0.5427
120000,0
120013.37,1.5812
120053.79,0.5226
120099.52,-0.021
120111.13,1.8359
120142.07,0.7778
120196.15,-0.1135
120208.89,1.689
120244.04,0.5387
120293.68,-0.2415
120307.96,1.7497
120341.8,0.6212
120392.79,-0.2565
120406.15,1.6704
120451.28,0.2377
120477.53,-0.1945
