x,CCK+BC
-492.05,21.198
-491.66,19.048
-488.89,20.601
-486.12,21.198
-484.14,16.302
-481.76,18.571
-478.99,19.765
-475.43,14.271
-473.45,15.107
-471.47,15.824
-466.73,1.732
-465.14,5.434
-463.16,6.27
-461.58,-10.569
-459.21,-5.195
-455.64,-1.015
-454.46,-18.69
-452.08,-10.091
-448.13,-4.598
-445.75,-24.422
-443.38,-18.928
-440.61,-15.226
-438.23,-31.229
-436.25,-23.108
-433.48,-20.361
-431.9,-35.051
-430.32,-26.213
-427.15,-22.511
-424.78,-49.501
-421.61,-39.469
-419.24,-38.036
-418.05,-44.127
-416.07,-34.215
-411.32,-29.796
-409.74,-43.41
-406.97,-33.02
-403.8,-29.796
-402.22,-36.603
-398.66,-29.318
-396.28,-26.572
-394.31,-33.618
-391.53,-28.243
-389.16,-24.541
-386.39,-39.469
-384.41,-35.887
-382.83,-33.379
-381.25,-40.425
-378.08,-29.199
-374.12,-25.258
-371.75,-31.468
-370.56,-28.303
-368.78,-24.123
-366.8,-26.094
-364.62,-19.884
-361.46,-17.854
-359.08,-23.347
-357.9,-19.287
-355.52,-16.062
-351.96,-25.616
-351.17,-20.839
-348.79,-16.898
-345.63,-23.944
-342.46,-17.256
-338.9,-12.002
-336.53,-14.749
-334.94,-9.972
-331.78,-6.747
-329.01,-12.957
-327.03,-9.972
-323.47,-7.941
-319.51,-12.36
-316.74,-7.941
-311.2,-4
-308.43,-12.479
-304.47,-6.389
-297.74,-1.134
-294.18,-10.091
-293,-5.553
-290.62,-3.403
-286.66,-10.33
-284.29,-7.941
-282.71,-6.747
-277.96,-12.718
-275.19,-8.539
-269.65,-4.717
-265.69,-14.271
-260.94,-11.046
-259.75,-8.658
-255.4,-11.166
-217.41,4.24
740.25,21.079
742.62,-35.051
750.54,12.958
766.36,18.929
