x,Curve1
-375.475,194.65
-373.931,-22.54
-371.191,37.86
-369.087,62.3
-367.416,-58.87
-364.837,-3
-362.413,32.26
-360.75,-66.21
-357.849,-2.67
-355.743,16.19
-354.583,-44.22
-351.353,11.29
-348.924,32.58
-347.443,-14.91
-344.205,18.26
-342.746,28.73
-340.788,7.08
-338.199,37.1
-336.416,49.67
-334.296,30.81
-332.189,46.17
-330.081,59.79
-327.15,44.77
-325.204,54.19
-323.418,60.12
-321.465,52.44
-319.358,66.4
-317.898,74.08
-316.759,72.33
-314.166,89.44
-310.921,105.15
-307.831,98.86
-306.046,106.53
-303.775,117.01
-301.331,102.34
-300.682,104.43
-300.033,106.87
-298.89,93.95
-297.268,102.68
-296.296,108.96
-293.043,101.97
-291.906,104.76
-290.444,107.55
-288.98,103.01
-286.868,105.8
-284.594,108.94
-283.293,106.49
-281.507,111.73
-279.071,116.61
-275.33,108.57
-273.706,111.36
-271.595,114.15
-268.992,108.21
-267.043,110.65
-265.418,112.05
-262.65,99.82
-261.677,102.96
-259.727,106.1
-259.554,76.07
-257.768,82.35
-256.308,89.33
-255.007,85.84
-253.709,91.42
-251.923,97.01
-250.135,95.61
-248.675,101.89
-246.889,106.43
-245.262,102.23
-243.476,108.86
-240.878,114.8
-238.928,113.05
-238.441,116.54
-236.979,118.98
-234.378,116.88
-233.081,123.16
-232.432,127.35
-230.644,126.65
-229.67,129.79
-228.046,131.88
-224.955,123.85
-223.656,127.34
-221.544,129.78
-219.592,125.58
-218.293,126.98
-217.643,129.07
-215.526,115.8
-214.064,117.54
-212.601,118.93
-210.649,113.34
-208.538,117.53
-205.614,122.41
-202.2,118.22
-201.226,120.31
-199.276,123.1
-197.162,118.91
-195.375,121.7
-192.614,124.83
-189.198,117.15
-187.899,120.29
-186.599,122.38
-184.159,115.39
-183.51,117.49
-182.535,119.23
-181.719,110.5
-181.233,113.29
-180.258,115.04
-178.633,113.98
-178.309,116.43
-176.847,118.17
-175.545,113.98
-174.733,116.07
-172.784,118.86
-170.18,109.08
-104.902,159.98
